TABLE:  Brace Object Connectivity,,,,,,
Unique Name,Story,BraceBay,UniquePtI,UniquePtJ,Length,GUID
32,Story2,D38,14,19,18383.08,331af9cb-8e7a-4e6c-8d7e-676ba4f259a9
33,Story2,D39,11,14,21285.68,c7a62524-d3eb-4742-adc5-d7968b9861d2
34,Story2,D40,14,18,18383.08,f1a6d079-54b2-4628-840b-e17114e33607
36,Story2,D41,11,15,21285.68,388153c7-fb3f-4e16-8384-647a3fc009ad
37,Story2,D42,15,20,18383.09,319add40-edda-4b8b-b5ea-fb466d60342d
38,Story2,D43,12,15,21285.68,a06e5251-9fe6-41bd-8224-2329bd4036bd
39,Story2,D44,15,19,18383.09,31361c52-efbb-4522-bcb8-349bc3c54f41
41,Story2,D45,12,16,21285.68,356352a4-4644-4a8f-b2b8-089475f1150c
42,Story2,D46,16,17,18383.08,b076b01f-4b63-45e7-9746-26189f352dd1
43,Story2,D47,9,16,21285.68,33ee0b2d-e4ab-42cc-ada6-c8a60b7883c5
44,Story2,D48,16,20,18383.08,183999d0-a75d-4382-8a6f-4e2c610ad6c6
1,Story1,D1,1,9,20310.1,e3430fa8-5851-407c-ab14-0ce3f9843fcf
2,Story1,D4,1,5,23430.1,4db5e8db-6883-42b2-80fb-d257392e42cb
3,Story1,D5,5,10,20618.49,6b343fbf-cd55-470a-8a89-c727c6bc9151
4,Story1,D6,2,5,23430.1,76662ef3-c649-458e-a3fd-1141d4a7ee7b
5,Story1,D7,5,9,20618.49,77755bd3-356a-4b3b-95a4-f1e229a8741c
6,Story1,D8,2,10,20310.1,d498e532-312d-4ad3-b8d5-a779296631f8
11,Story1,D9,3,11,20310.1,5c729cd0-5743-49f9-9990-d37515ead933
16,Story1,D10,4,12,20310.1,7346ce84-53b8-4767-a791-26e57fa16cf5
12,Story1,D17,3,7,23430.1,c9510ec6-8e76-44fa-8c14-0498908de556
13,Story1,D18,7,12,20618.49,da3d5dca-d5e8-4292-9b7f-f9bf3f38c9af
14,Story1,D19,4,7,23430.1,195b48bc-0e02-4d14-b3ae-77ff23ed289a
15,Story1,D20,7,11,20618.49,e6c8cc32-91ad-4bf4-85eb-6a01eef9dee9
7,Story1,D21,2,6,23430.1,d1868564-021e-4f8b-9607-2b8441aab717
8,Story1,D22,6,11,20618.48,54890145-2223-4a64-9c96-bc8038cbc79d
9,Story1,D23,3,6,23430.1,b4c60ebc-5139-45af-b70d-9c7c192d4951
10,Story1,D24,6,10,20618.48,3a3c35ea-e575-44d5-9c85-d58dcbf35759
19,Story1,D25,1,8,23430.1,7eda3e37-9c84-4d61-9df0-959a983cd84d
20,Story1,D26,8,12,20618.48,73ead9b0-f58d-4149-bd14-76d8468f1ded
17,Story1,D27,4,8,23430.1,29d081c3-8b2e-4ea4-99da-7f3934882ca3
18,Story1,D28,8,9,20618.48,847afa00-1904-4f8d-8a48-d2b7c361c992
